step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_average_speed,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_average_speed,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
103.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,17.864289200690536,0.0,0,0.0,1.0,0.0,17.864289200690536,0.0,1,0.0,0.0,35.72857840138107,0.0,17.864289200690536
104.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,17.864289200690536,0.0,0,0.0,1.0,0.0,17.864289200690536,0.0,1,0.0,0.0,35.72857840138107,0.0,17.864289200690536
105.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,17.864289200690536,0.0,0,0.0,1.0,0.0,17.864289200690536,0.0,1,0.0,0.0,35.72857840138107,0.0,17.864289200690536
106.0,0.0,0.0,0.0,,1,0.0,0.0,2.0,19.864289200690536,2.0,0,0.0,1.0,2.0,19.864289200690536,2.0,1,0.0,0.0,39.72857840138107,2.0,19.864289200690536
107.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,19.864289200690536,0.0,0,0.0,1.0,0.0,19.864289200690536,0.0,1,0.0,0.0,39.72857840138107,0.0,19.864289200690536
108.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,19.864289200690536,0.0,0,0.0,1.0,0.0,19.864289200690536,0.0,1,0.0,0.0,39.72857840138107,0.0,19.864289200690536
109.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,19.864289200690536,0.0,0,0.0,1.0,0.0,19.864289200690536,0.0,1,0.0,0.0,39.72857840138107,0.0,19.864289200690536
110.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,19.864289200690536,0.0,0,0.0,1.0,0.0,19.864289200690536,0.0,1,0.0,0.0,39.72857840138107,0.0,19.864289200690536
111.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,19.864289200690536,0.0,0,0.0,1.0,0.0,19.864289200690536,0.0,1,0.0,0.0,39.72857840138107,0.0,19.864289200690536
112.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,19.864289200690536,0.0,0,0.0,1.0,0.0,19.864289200690536,0.0,1,0.0,0.0,39.72857840138107,0.0,19.864289200690536
113.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,19.864289200690536,0.0,0,0.0,1.0,0.0,19.864289200690536,0.0,1,0.0,0.0,39.72857840138107,0.0,19.864289200690536
114.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,19.864289200690536,0.0,0,0.0,1.0,0.0,19.864289200690536,0.0,1,0.0,0.0,39.72857840138107,0.0,19.864289200690536
115.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,19.864289200690536,0.0,0,0.0,1.0,0.0,19.864289200690536,0.0,1,0.0,0.0,39.72857840138107,0.0,19.864289200690536
