step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
97,0.0,0.0,0.0,,0,0.0,0.0,-3.544869569996358,0.0,1,0.0,0.0,0.0,0.0,1,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
98,0.0,0.0,0.0,,0,0.0,0.0,-3.544869569996358,0.0,1,0.0,0.0,0.0,0.0,1,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
99,0.0,0.0,0.0,,0,0.0,0.0,-3.544869569996358,0.0,1,0.0,0.0,0.0,0.0,1,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
100,1.0,0.16666666666666666,1.0,,0,0.0,0.0,-3.544869569996358,0.0,1,0.0002777777777777778,0.0,0.0,0.0,1,0.0002777777777777778,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
101,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
102,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
103,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
104,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
105,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
106,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
107,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
108,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
109,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
110,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
111,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
112,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
